AccidentId,Direction,PassengerNumber,FixedObstacle,MobileObstacle,ImpactPoint,Maneuver
201800000165,Increasing,0,,Pedestrian,RightFront,NoDirectionChange
201800000166,Unknown,0,,Vehicle,LeftBack,Reverse
201800000166,Unknown,0,,Vehicle,LeftBack,WrongWay
201800000167,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000167,Unknown,0,,Vehicle,RightFront,NoDirectionChange
201800000168,Decreasing,0,,Pedestrian,Front,NoDirectionChange
201800000169,Decreasing,0,MetallicBarrier,,Back,SameDirectionOrLane
201800000169,Decreasing,0,,Vehicle,Front,SameDirectionOrLane
201800000170,Increasing,0,,,Back,NoDirectionChange
201800000170,Increasing,0,,Vehicle,Front,SameDirectionOrLane
201800000171,Increasing,0,MetallicBarrier,Vehicle,Front,WrongWay
201800000171,Increasing,0,MetallicBarrier,Vehicle,LeftBack,NoDirectionChange
201800000172,Increasing,0,,,Back,SameDirectionOrLane
201800000173,Increasing,0,Parapet,,LeftFront,SameDirectionOrLane
201800000174,Decreasing,0,,,RightFront,SameDirectionOrLane
201800000174,Decreasing,0,,,LeftBack,SameDirectionOrLane
201800000175,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000175,Increasing,0,Post,Vehicle,LeftSide,NoDirectionChange
201800000176,Increasing,0,,,RightFront,NoDirectionChange
201800000178,Increasing,0,,,Front,NoDirectionChange
201800000179,Unknown,0,MetallicBarrier,Vehicle,RightFront,NoDirectionChange
201800000179,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000180,Increasing,0,,Vehicle,LeftFront,TurnToLeft
201800000180,Increasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000181,Unknown,0,,Vehicle,LeftSide,TurnToLeft
201800000181,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000182,Increasing,0,,,RightSide,
201800000184,Unknown,0,,,Front,NoDirectionChange
201800000184,Unknown,1,,,RightFront,NoDirectionChange
201800000185,Decreasing,0,Post,,Front,SwerveToLeft
201800000186,Increasing,0,BuildingWallOrPier,Vehicle,Front,SameDirectionOrLane
201800000186,Increasing,0,,,Back,SameDirectionOrLane
201800000187,Decreasing,0,,Vehicle,RightFront,SameDirectionOrLane
201800000187,Decreasing,0,,,Back,NoDirectionChange
201800000188,Unknown,0,,Pedestrian,Front,TurnToLeft
201800000189,Decreasing,0,,Vehicle,LeftBack,TurnToLeft
201800000189,Decreasing,0,,Vehicle,Front,PassLeft
201800000190,Unknown,0,DitchTalusOrRockyWall,Other,,
201800000191,Decreasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000191,Increasing,0,DitchTalusOrRockyWall,,LeftSide,NoDirectionChange
201800000192,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000192,Decreasing,0,StationaryVehicle,,RightSide,TurnToLeft
201800000193,Increasing,0,,Vehicle,LeftSide,CrossLane
201800000193,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000194,Increasing,0,,WildAnimal,Front,PassLeft
201800000195,Increasing,0,,Vehicle,Front,PassLeft
201800000195,Decreasing,0,,Vehicle,Front,Avoidance
201800000196,Unknown,0,,Pedestrian,RightFront,NoDirectionChange
201800000197,Decreasing,0,,Vehicle,LeftFront,TurnToLeft
201800000197,Decreasing,0,,Vehicle,Front,PassLeft
201800000198,Unknown,0,Tree,,Front,NoDirectionChange
201800000199,Decreasing,0,,Vehicle,Front,SwerveToLeft
201800000199,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000201,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000201,Decreasing,0,,,Back,NoDirectionChange
201800000202,Increasing,0,,Vehicle,Front,CrossLane
201800000202,Increasing,0,,Vehicle,LeftSide,NoDirectionChange
201800000203,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000203,Increasing,0,,Vehicle,Back,Stopped
201800000204,Unknown,0,,Vehicle,LeftFront,Park
201800000204,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000205,Decreasing,0,,,Front,NoDirectionChange
201800000206,Decreasing,0,Tree,,RightFront,NoDirectionChange
201800000207,Unknown,0,,Vehicle,Front,PassLeft
201800000207,Unknown,0,,,LeftFront,TurnToLeft
201800000208,Unknown,0,,Pedestrian,,CrossStrip
201800000209,Increasing,0,,Other,RightFront,SwerveToRight
201800000209,Increasing,0,,Vehicle,LeftSide,
201800000210,Increasing,0,,Vehicle,LeftFront,TurnToLeft
201800000210,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000211,Unknown,0,StationaryVehicle,,Front,TurnToRight
201800000211,Unknown,0,,,RightBack,Parked
201800000212,Decreasing,0,,Vehicle,,
201800000212,Decreasing,0,,Vehicle,Back,SameDirectionOrLane
201800000212,Increasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000212,Decreasing,0,,,RightSide,Parked
201800000214,Unknown,0,Post,,LeftFront,NoDirectionChange
201800000215,Unknown,0,,,Front,
201800000215,Unknown,0,,Vehicle,Multiple,NoDirectionChange
201800000216,Unknown,0,,Vehicle,RightSide,NoDirectionChange
201800000216,Unknown,0,,,Front,NoDirectionChange
201800000218,Unknown,0,,,Front,NoDirectionChange
201800000219,Unknown,0,,Vehicle,Front,CrossLane
201800000219,Unknown,0,OtherInSidewalkOrShoulder,Vehicle,LeftSide,NoDirectionChange
201800000220,Unknown,0,BuildingWallOrPier,,Front,NoDirectionChange
201800000221,Increasing,0,TrafficSignOrEmergencyBox,,Multiple,NoDirectionChange
201800000222,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000222,Decreasing,0,,,Back,SameDirectionOrLane
201800000223,Unknown,0,,Pedestrian,LeftFront,PassRight
201800000224,Unknown,0,StationaryVehicle,,RightFront,SameDirectionOrLane
201800000224,Unknown,0,,,LeftBack,Parked
201800000227,Decreasing,0,,Vehicle,RightFront,CrossLane
201800000227,Increasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000228,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000228,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000229,Decreasing,0,,Vehicle,RightBack,TurnToLeft
201800000229,Increasing,0,,Vehicle,Front,
201800000229,Decreasing,0,,Vehicle,LeftSide,NoDirectionChange
201800000230,Increasing,0,BuildingWallOrPier,,Front,UTurnInLane
201800000231,Decreasing,0,,Vehicle,Front,SwerveToLeft
201800000231,Increasing,0,,Other,LeftFront,NoDirectionChange
201800000233,Increasing,0,,Vehicle,LeftFront,TurnToRight
201800000233,Increasing,0,,Vehicle,RightFront,
201800000233,Decreasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000234,Unknown,0,,Pedestrian,Back,Reverse
201800000235,Unknown,0,ExitLaneWithoutObstacle,,,
201800000236,Increasing,0,,Vehicle,Front,WrongWay
201800000236,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000237,Increasing,0,,Vehicle,RightFront,SwerveToLeft
201800000237,Decreasing,0,,Vehicle,RightFront,NoDirectionChange
201800000238,Increasing,0,,Vehicle,RightSide,SwerveToLeft
201800000238,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000239,Increasing,0,,Vehicle,Front,TurnToLeft
201800000239,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000239,Increasing,0,,Vehicle,Front,Stopped
201800000240,Decreasing,0,BuildingWallOrPier,,Front,SwerveToLeft
201800000241,Decreasing,0,,Other,,NoDirectionChange
201800000242,Increasing,0,,,,NoDirectionChange
201800000243,Increasing,0,,Vehicle,RightFront,Insertion
201800000243,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000244,Decreasing,0,MetallicBarrier,Vehicle,RightFront,NoDirectionChange
201800000244,Increasing,0,,Vehicle,RightFront,NoDirectionChange
201800000245,Decreasing,0,DitchTalusOrRockyWall,,RightSide,NoDirectionChange
201800000246,Unknown,0,,,RightBack,NoDirectionChange
201800000247,Increasing,0,BuildingWallOrPier,,LeftFront,NoDirectionChange
201800000248,Unknown,0,,Vehicle,LeftSide,CrossLane
201800000248,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000249,Decreasing,0,,,LeftSide,Insertion
201800000249,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000250,Decreasing,0,BuildingWallOrPier,,RightFront,NoDirectionChange
201800000251,Decreasing,0,ExitLaneWithoutObstacle,,,NoDirectionChange
201800000253,Decreasing,0,Post,,Front,NoDirectionChange
201800000255,Increasing,0,,Vehicle,Front,SwerveToLeft
201800000255,Decreasing,0,,Vehicle,Front,SameDirectionOrLane
201800000256,Decreasing,0,,Vehicle,Front,SameDirectionOrLane
201800000256,Decreasing,0,,,Back,SameDirectionOrLane
201800000257,Increasing,0,,Vehicle,RightFront,CrossLane
201800000257,Decreasing,0,,Vehicle,RightFront,SameDirectionOrLane
201800000258,Unknown,0,,Vehicle,LeftFront,CrossLane
201800000258,Unknown,0,,Vehicle,LeftFront,NoDirectionChange
201800000259,Decreasing,0,Post,Vehicle,Front,Insertion
201800000259,Unknown,0,,,RightSide,TurnToRight
201800000260,Decreasing,0,MetallicBarrier,Vehicle,LeftFront,PassLeft
201800000260,Decreasing,0,TrafficSignOrEmergencyBox,,LeftBack,TurnToLeft
201800000261,Decreasing,0,,Pedestrian,RightFront,SwerveToRight
201800000262,Increasing,0,,Vehicle,RightFront,SameDirectionOrLane
201800000262,Increasing,0,,,LeftBack,SameDirectionOrLane
201800000263,Increasing,0,,Vehicle,LeftFront,PassRight
201800000263,Increasing,0,,Vehicle,RightSide,TurnToRight
201800000264,Increasing,0,,Vehicle,LeftFront,SwerveToLeft
201800000264,Decreasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000265,Decreasing,0,BuildingWallOrPier,,Front,NoDirectionChange
201800000266,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000266,Increasing,0,,Vehicle,LeftBack,TurnToLeft
201800000267,Unknown,0,,Vehicle,RightFront,
201800000267,Unknown,0,,Vehicle,LeftFront,
201800000268,Unknown,0,,Vehicle,LeftFront,Insertion
201800000268,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000270,Unknown,0,,Vehicle,Front,PassLeft
201800000270,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000271,Unknown,0,,Vehicle,RightFront,Insertion
201800000271,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000272,Unknown,0,Tree,,RightFront,SwerveToRight
201800000273,Unknown,0,ExitLaneWithoutObstacle,,Multiple,SwerveToLeft
201800000276,Unknown,0,,Vehicle,RightFront,PassLeft
201800000276,Unknown,0,,Vehicle,LeftFront,
201800000277,Decreasing,0,,,LeftSide,TurnToLeft
201800000277,Decreasing,0,,,Front,Avoidance
201800000278,Increasing,0,TrafficIslandRefugeOrMilestone,,Front,NoDirectionChange
201800000279,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000279,Decreasing,0,,Vehicle,Front,WrongWay
201800000280,Increasing,0,Tree,Other,,
201800000282,Decreasing,0,,Pedestrian,Front,NoDirectionChange
201800000283,Increasing,0,StationaryVehicle,,Front,NoDirectionChange
201800000284,Decreasing,0,,Vehicle,RightFront,NoDirectionChange
201800000284,Increasing,0,,Vehicle,,NoDirectionChange
201800000285,Unknown,0,,Other,LeftFront,NoDirectionChange
201800000285,Unknown,0,,Vehicle,Front,NoDirectionChange
201800000287,Increasing,0,,,LeftSide,NoDirectionChange
201800000288,Unknown,0,,Vehicle,RightSide,
201800000288,Unknown,0,,Vehicle,LeftFront,TurnToLeft
201800000289,Decreasing,0,,Vehicle,RightFront,TurnToLeft
201800000289,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000290,Unknown,0,,Pedestrian,RightFront,NoDirectionChange
201800000291,Decreasing,0,,Pedestrian,LeftFront,SwerveToLeft
201800000292,Increasing,0,,Vehicle,Front,NoDirectionChange
201800000292,Decreasing,0,,Vehicle,LeftFront,NoDirectionChange
201800000292,Decreasing,0,,Vehicle,Front,NoDirectionChange
201800000292,Decreasing,0,,Vehicle,RightFront,NoDirectionChange
201800000294,Increasing,0,StationaryVehicle,Vehicle,LeftFront,PassLeft
201800000294,Decreasing,0,,Vehicle,RightSide,
201800000295,Decreasing,0,,Vehicle,Front,PassLeft
