AccidentId,RoadType,RoadNumber,RoadSecNumber,RoadLetter,Circulation,LaneNumber,SpecialLane,Slope,RoadMarkerId,RoadMarkerDistance,Layout,StripWidth,LaneWidth,SurfaceCondition,Infrastructure,Localization,SchoolNear
201800000020,Communal,,,,TwoWay,2.0,0,Flat,,,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000021,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000022,Departamental,917,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,,Lane,0.0
201800000023,Departamental,917,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000024,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Wet,,Lane,0.0
201800000025,Departamental,54,,,TwoWay,2.0,0,Flat,2.0,480.0,,,,Wet,Unknown,Sidewalk,0.0
201800000026,Departamental,954,,,TwoWay,2.0,0,Flat,,,RightCurve,,,Normal,Unknown,Lane,0.0
201800000027,Departamental,238,,,,,,,,,,,,,,,
201800000028,Departamental,106,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Shoulder,0.0
201800000029,Departamental,642,,,TwoWay,2.0,0,Flat,19.0,900.0,Straight,,,Normal,,Shoulder,0.0
201800000030,Departamental,10,,,TwoWay,2.0,0,Flat,8.0,500.0,Straight,,,,Unknown,Lane,0.0
201800000031,Departamental,642,,,DividedHighway,2.0,0,Uphill,0.0,600.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000032,Departamental,933,,,TwoWay,2.0,SeparatedBike,Flat,30.0,790.0,Straight,,,Normal,Unknown,Lane,0.0
201800000033,Departamental,18,,,,,,,,,,,,,,,
201800000034,Departamental,947,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000036,Departamental,166,,,TwoWay,2.0,0,Flat,,,RightCurve,,,Normal,Unknown,Lane,0.0
201800000037,Departamental,122,,,TwoWay,2.0,0,Flat,26.0,900.0,Straight,,,Normal,Unknown,Lane,0.0
201800000038,Departamental,322,,D,TwoWay,2.0,0,Flat,1.0,481.0,Straight,,,Normal,Intersection,Lane,0.0
201800000039,Departamental,945,,,TwoWay,2.0,0,Flat,,,,,,Normal,Unknown,Lane,0.0
201800000040,Departamental,122,,,TwoWay,2.0,0,Flat,26.0,0.0,Straight,,,Normal,Unknown,Lane,0.0
201800000043,Departamental,916,,,TwoWay,2.0,0,Uphill,0.0,50.0,,,,Normal,Unknown,Lane,0.0
201800000044,Departamental,23,,C,TwoWay,2.0,0,Flat,2.0,250.0,Straight,,,Normal,Unknown,Lane,0.0
201800000045,Departamental,122,,,TwoWay,2.0,0,Flat,13.0,875.0,RightCurve,,,Normal,,Shoulder,0.0
201800000046,Departamental,122,,D,TwoWay,2.0,0,Flat,13.0,100.0,LeftCurve,,,Wet,,Shoulder,0.0
201800000047,Departamental,90,,,TwoWay,2.0,0,Flat,,,Straight,,,Wet,Unknown,Lane,0.0
201800000048,Departamental,90,,D,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000049,Departamental,955,,,TwoWay,2.0,0,Flat,,,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000050,Departamental,955,,,TwoWay,2.0,0,Flat,,,RightCurve,,,Wet,Unknown,Lane,0.0
201800000051,Departamental,955,,,TwoWay,1.0,0,Flat,60.0,150.0,Straight,,,Normal,Unknown,Lane,0.0
201800000052,Departamental,90,,,,,,,,,,,,,,,
201800000053,Departamental,94,,,TwoWay,2.0,SeparatedBike,Flat,,,RightCurve,,,,Unknown,Lane,0.0
201800000054,Departamental,955,,D,TwoWay,2.0,0,TopHill,,,Straight,,,Normal,Unknown,Lane,0.0
201800000055,Departamental,145,,D,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Intersection,Lane,0.0
201800000056,Departamental,36,,D,TwoWay,2.0,0,Flat,3.0,670.0,Straight,,,,Unknown,Lane,0.0
201800000057,Departamental,36,,A,TwoWay,2.0,0,Flat,0.0,936.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000058,Departamental,57,,,TwoWay,2.0,0,Flat,5.0,80.0,Straight,,,Normal,Unknown,Lane,0.0
201800000059,Departamental,257,,,TwoWay,2.0,Bike,Flat,1.0,800.0,,,,Normal,Unknown,Lane,0.0
201800000060,Departamental,36,,,,,,,,,,,,,,,
201800000061,Other,0,,,TwoWay,2.0,0,Flat,,,Straight,,,,Unknown,Lane,0.0
201800000062,Departamental,40,,A,TwoWay,2.0,0,Flat,,,RightCurve,,,Wet,Unknown,Sidewalk,0.0
201800000064,Departamental,49,,D,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000065,Departamental,81,,,TwoWay,2.0,0,Flat,,,S-Shape,,,Normal,Unknown,Shoulder,0.0
201800000066,Departamental,630,,D,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Sidewalk,0.0
201800000067,Departamental,148,,,TwoWay,2.0,0,Flat,5.0,,Straight,,,Normal,Unknown,Lane,0.0
201800000068,Communal,,,,TwoWay,2.0,0,Flat,3.0,,,,,Normal,Unknown,Lane,0.0
201800000069,Departamental,962,,,TwoWay,2.0,0,BottomHill,8.0,409.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000070,Departamental,424,,,TwoWay,2.0,0,Uphill,1.0,230.0,S-Shape,,53.0,Wet,Unknown,Lane,0.0
201800000071,Departamental,104,,,TwoWay,2.0,0,Flat,5.0,280.0,Straight,,,Wet,Unknown,Lane,0.0
201800000072,Departamental,962,,,TwoWay,2.0,0,TopHill,6.0,334.0,Straight,,,,Unknown,Shoulder,0.0
201800000073,National,2,,,TwoWay,2.0,0,Flat,7.0,200.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000074,Departamental,116,,,TwoWay,2.0,0,Flat,14.0,989.0,Straight,,48.0,Normal,Unknown,Shoulder,0.0
201800000075,National,2,,,TwoWay,2.0,0,Flat,3.0,582.0,Straight,,,Normal,Unknown,Lane,0.0
201800000076,National,2,,,TwoWay,2.0,0,Uphill,5.0,400.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000077,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,,Lane,0.0
201800000078,Communal,,,,TwoWay,2.0,0,Flat,1.0,,Straight,,,Normal,Unknown,Lane,0.0
201800000079,Departamental,124,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000080,Departamental,424,,,TwoWay,2.0,0,BottomHill,,,RightCurve,,,Normal,Unknown,Lane,0.0
201800000082,Departamental,424,,,TwoWay,2.0,0,Flat,3.0,200.0,Straight,,,Unknown,Intersection,Lane,0.0
201800000083,National,2,,,TwoWay,2.0,0,BottomHill,17.0,571.0,Straight,,,Normal,Unknown,Lane,0.0
201800000084,Departamental,20,,D,TwoWay,2.0,0,Flat,5.0,216.0,,,,Normal,Unknown,Lane,0.0
201800000085,Departamental,156,,,TwoWay,2.0,0,Flat,1.0,542.0,Straight,,,Wet,,Shoulder,0.0
201800000086,Departamental,42,,D,TwoWay,2.0,0,BottomHill,4.0,500.0,Straight,,,Normal,Intersection,Lane,0.0
201800000087,Communal,,,,TwoWay,2.0,0,Flat,,,RightCurve,,,Normal,Unknown,Shoulder,0.0
201800000088,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000089,Departamental,643,,,TwoWay,2.0,0,Flat,2.0,773.0,Straight,,,,Unknown,Lane,0.0
201800000090,Departamental,643,,R,TwoWay,2.0,SeparatedBike,Flat,9.0,550.0,Unknown,,,Unknown,Intersection,Lane,0.0
201800000091,Departamental,2643,,,TwoWay,2.0,0,Flat,11.0,612.0,Straight,,,Normal,Unknown,Lane,0.0
201800000092,Departamental,2643,,D,TwoWay,2.0,0,Uphill,12.0,18.0,,,,Normal,Intersection,Lane,0.0
201800000093,Departamental,86,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,,Sidewalk,0.0
201800000094,Departamental,959,,,TwoWay,2.0,0,Flat,6.0,491.0,Straight,,,Normal,Unknown,Lane,0.0
201800000095,Communal,,,,,,,,,,,,,,,,
201800000097,Departamental,86,,D,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000098,Departamental,643,,,TwoWay,2.0,0,Flat,8.0,790.0,Straight,,,Normal,Unknown,Lane,0.0
201800000099,Communal,,,,,,,,,,,,,,,,
201800000100,Departamental,115,,,TwoWay,2.0,0,Flat,5.0,1000.0,Straight,,,Normal,Unknown,Lane,0.0
201800000101,Communal,,,,DividedHighway,2.0,0,Flat,,,Straight,,,Ice,Unknown,Sidewalk,0.0
201800000102,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000103,Departamental,45,,,TwoWay,2.0,0,Flat,16.0,121.0,Straight,,,Normal,Intersection,Lane,0.0
201800000105,Departamental,16,,,TwoWay,2.0,0,Flat,26.0,134.0,Straight,,,Normal,Unknown,Lane,0.0
201800000106,Communal,,,,TwoWay,2.0,0,Flat,,,,,,Normal,Unknown,Lane,0.0
201800000107,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Wet,Unknown,Lane,0.0
201800000108,Departamental,643,,D,TwoWay,2.0,0,Flat,16.0,385.0,Straight,,,Normal,Unknown,Lane,0.0
201800000109,Departamental,16,,A,TwoWay,2.0,0,Flat,0.0,482.0,Straight,,,Normal,Unknown,Lane,0.0
201800000110,Departamental,115,,,,,,,,,,,,,,,
201800000112,Departamental,643,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,,Lane,0.0
201800000113,Departamental,16,,A,TwoWay,2.0,0,Flat,1.0,0.0,Straight,,,Normal,Unknown,Lane,0.0
201800000114,Departamental,340,,,TwoWay,2.0,0,Flat,30.0,929.0,Straight,,,Normal,Intersection,Lane,0.0
201800000116,Departamental,152,,,TwoWay,2.0,0,Uphill,3.0,660.0,Unknown,,,Normal,Unknown,Lane,0.0
201800000117,Departamental,630,,,TwoWay,2.0,SeparatedBike,Flat,19.0,400.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000118,Departamental,630,,,TwoWay,2.0,0,Flat,20.0,783.0,Unknown,,,Normal,Unknown,Sidewalk,0.0
201800000119,Departamental,114,,,TwoWay,2.0,0,Flat,4.0,870.0,Straight,,,Normal,Bridge,Lane,0.0
201800000120,Departamental,29,,,TwoWay,2.0,0,Flat,4.0,40.0,Straight,,,Wet,Unknown,Shoulder,0.0
201800000121,Departamental,56,,,TwoWay,2.0,0,Flat,4.0,888.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000122,Departamental,29,,,TwoWay,2.0,0,Uphill,15.0,398.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000123,Departamental,644,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000124,Departamental,40,,D,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Shoulder,0.0
201800000125,Communal,,,,,,,,,,,,,,,,
201800000126,Departamental,109,,D,VariableWayNumber,2.0,0,Flat,1.0,659.0,Straight,,,Normal,Unknown,Lane,0.0
201800000127,Departamental,643,,D,OneWay,1.0,0,Flat,,,Straight,,,Normal,,Lane,0.0
201800000128,Departamental,65,,,TwoWay,2.0,0,Flat,3.0,400.0,Straight,,,Normal,Unknown,Lane,0.0
201800000129,Departamental,25,,A,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000130,Departamental,247,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Bridge,Shoulder,0.0
201800000131,Departamental,643,,,TwoWay,3.0,0,Uphill,47.0,630.0,Straight,,,Normal,Unknown,Lane,0.0
201800000132,Communal,,,,TwoWay,2.0,0,Flat,,,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000133,Departamental,65,,D,TwoWay,2.0,0,Flat,10.0,1.0,Straight,,,Normal,Unknown,Lane,0.0
201800000134,Departamental,643,,,OneWay,2.0,SeparatedBike,Flat,54.0,500.0,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000135,Departamental,47,,,TwoWay,2.0,0,Flat,43.0,,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000136,Departamental,135,,A,TwoWay,2.0,0,Flat,2.0,635.0,Straight,,,Wet,Unknown,Lane,0.0
201800000137,Departamental,126,,,,,,,,,,,,,,,
201800000138,Departamental,549,,,TwoWay,2.0,Bike,Flat,,,,,,Ice,Unknown,Lane,0.0
201800000139,Departamental,938,,,TwoWay,2.0,SeparatedBike,Flat,,,Straight,,,Normal,Unknown,BikeLane,0.0
201800000140,Departamental,957,,,TwoWay,2.0,0,Uphill,,,Straight,,,Normal,Unknown,Lane,0.0
201800000141,Departamental,938,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000142,Departamental,938,,,TwoWay,2.0,SeparatedBike,Flat,,,,,,Normal,Unknown,Lane,0.0
201800000143,Departamental,938,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000144,Departamental,938,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000145,Departamental,230,,,TwoWay,2.0,0,Flat,,,LeftCurve,,,Normal,Unknown,Shoulder,0.0
201800000146,Departamental,126,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000147,Other,,,,Unknown,1.0,0,Flat,,,,,,Other,,Lane,0.0
201800000149,Departamental,938,,,TwoWay,2.0,0,Flat,,,Straight,,,,Unknown,Lane,0.0
201800000150,Departamental,549,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000151,Departamental,430,,,TwoWay,2.0,0,Flat,,,RightCurve,,,,Unknown,Lane,0.0
201800000152,Communal,,,,TwoWay,2.0,0,Flat,,,RightCurve,,,Normal,Unknown,Lane,0.0
201800000153,Departamental,938,,,TwoWay,2.0,0,Flat,,,Straight,,,Wet,Unknown,Shoulder,0.0
201800000154,Communal,,,,TwoWay,2.0,0,Flat,,,RightCurve,,,Wet,Unknown,Lane,0.0
201800000155,Departamental,30,,D,TwoWay,2.0,0,Flat,,,Straight,,,Ice,Unknown,Lane,0.0
201800000156,Departamental,154,,,TwoWay,2.0,0,Flat,11.0,600.0,Straight,,48.0,Normal,,Shoulder,0.0
201800000157,Departamental,154,,,,,,,,,,,,,,,
201800000158,National,2,,,TwoWay,2.0,0,Flat,,,Straight,,,,,Lane,0.0
201800000159,Departamental,942,,,TwoWay,2.0,0,Uphill,45.0,850.0,RightCurve,,67.0,Normal,Unknown,Lane,0.0
201800000160,Departamental,649,,,DividedHighway,4.0,0,Uphill,81.0,800.0,Straight,10.0,100.0,Normal,Unknown,Lane,0.0
201800000161,Departamental,2649,,,TwoWay,2.0,0,Uphill,,,S-Shape,,,Normal,Unknown,Lane,0.0
201800000162,Departamental,154,,D,TwoWay,2.0,0,Flat,6.0,643.0,Straight,,,Normal,Unknown,Lane,0.0
201800000163,Departamental,951,,D,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000164,Departamental,100,,,TwoWay,2.0,0,Flat,9.0,900.0,LeftCurve,,,Wet,Unknown,Shoulder,0.0
201800000165,Departamental,932,,,TwoWay,2.0,0,Flat,32.0,550.0,,,67.0,Normal,Unknown,Lane,0.0
201800000166,Communal,,,,Unknown,2.0,0,Flat,,,Straight,,,Other,,Lane,0.0
201800000167,Communal,34,,,TwoWay,2.0,0,Uphill,,,,,,Normal,Unknown,Lane,0.0
201800000168,Departamental,86,,,TwoWay,2.0,0,Flat,1.0,5.0,Straight,,,Normal,Intersection,Lane,0.0
201800000169,Highway,16,,,DividedHighway,4.0,0,Flat,59.0,568.0,Straight,,,Normal,,Lane,0.0
201800000170,Highway,16,,,DividedHighway,4.0,0,Uphill,69.0,100.0,Straight,,,Normal,Unknown,Lane,0.0
201800000171,Highway,16,,,DividedHighway,4.0,0,Flat,60.0,550.0,Straight,,,Normal,Unknown,Lane,0.0
201800000172,Highway,16,,,DividedHighway,2.0,0,Flat,63.0,300.0,Straight,,,Normal,Unknown,Lane,0.0
201800000173,Highway,16,,,DividedHighway,2.0,0,Flat,72.0,0.0,,,,Normal,Unknown,Lane,0.0
201800000174,Highway,16,,,DividedHighway,4.0,0,Uphill,245.0,800.0,Straight,,,Normal,Unknown,Lane,0.0
201800000175,Departamental,341,,,TwoWay,2.0,0,Uphill,4.0,350.0,Straight,,,Normal,,Lane,0.0
201800000176,Departamental,55,,,TwoWay,2.0,0,Flat,14.0,37.0,Unknown,,,Normal,Unknown,Lane,0.0
201800000178,Communal,,,,TwoWay,2.0,0,Flat,,,S-Shape,,,Normal,,Lane,0.0
201800000179,Departamental,341,,,TwoWay,2.0,0,Uphill,6.0,783.0,Straight,,,Normal,,Lane,0.0
201800000180,Departamental,49,,,TwoWay,2.0,,,9.0,225.0,,,,,Intersection,Lane,
201800000181,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000182,Departamental,57,,,TwoWay,2.0,0,Flat,5.0,0.0,S-Shape,,,Normal,,Shoulder,0.0
201800000184,National,17,,,TwoWay,4.0,0,Flat,36.0,900.0,,,,Normal,Unknown,Lane,0.0
201800000185,Departamental,51,,,TwoWay,2.0,0,Flat,1.0,350.0,Straight,,,,,Sidewalk,0.0
201800000186,Departamental,950,,,DividedHighway,2.0,0,Flat,11.0,300.0,Straight,,,,Unknown,Lane,0.0
201800000187,Departamental,950,,,DividedHighway,2.0,0,Flat,18.0,600.0,Straight,,,Normal,Unknown,Lane,0.0
201800000188,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000189,Departamental,39,,,TwoWay,2.0,0,Uphill,15.0,700.0,Straight,,,Normal,Unknown,Lane,0.0
201800000190,Departamental,43,,,TwoWay,2.0,0,Flat,0.0,2100.0,Straight,,,Normal,Unknown,Shoulder,0.0
201800000191,Departamental,191,,,TwoWay,2.0,0,Uphill,53.0,800.0,Straight,,,Ice,Unknown,Lane,0.0
201800000192,Departamental,191,,,TwoWay,2.0,0,Flat,46.0,800.0,Straight,,,Normal,Unknown,Lane,0.0
201800000193,Departamental,232,,,TwoWay,2.0,0,Flat,11.0,50.0,Straight,,,Normal,Intersection,Lane,0.0
201800000194,Departamental,940,,,TwoWay,2.0,0,Flat,59.0,300.0,Straight,,,Normal,Unknown,Lane,0.0
201800000195,Departamental,191,,,TwoWay,2.0,0,Flat,48.0,600.0,Straight,,,Wet,Unknown,Lane,0.0
201800000196,Departamental,191,,,TwoWay,2.0,0,Uphill,50.0,1090.0,Straight,,,Normal,Unknown,Lane,0.0
201800000197,Departamental,244,,E,TwoWay,2.0,0,Flat,19.0,140.0,Straight,,,Normal,Unknown,Lane,0.0
201800000198,Communal,,,,TwoWay,2.0,0,Flat,,,LeftCurve,,,Unknown,,Shoulder,0.0
201800000199,Departamental,940,,,TwoWay,2.0,SeparatedBike,Flat,36.0,79.0,Straight,,,Normal,Unknown,Lane,0.0
201800000201,Departamental,901,,,TwoWay,2.0,0,Flat,44.0,910.0,Straight,,,Normal,Unknown,Lane,0.0
201800000202,Communal,,,,OneWay,1.0,0,Flat,,,,,,Normal,Unknown,Lane,0.0
201800000203,Departamental,75,,,TwoWay,2.0,0,Flat,28.0,500.0,Straight,,,,Unknown,Lane,0.0
201800000204,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000205,Departamental,148,,E,TwoWay,2.0,0,Uphill,58.0,436.0,LeftCurve,,,Normal,Unknown,Lane,0.0
201800000206,Departamental,113,,,TwoWay,2.0,0,Flat,32.0,520.0,LeftCurve,,,Normal,Unknown,Shoulder,0.0
201800000207,Communal,,,,TwoWay,2.0,0,Flat,,,,,,Normal,Unknown,Lane,0.0
201800000208,Departamental,940,,,OneWay,1.0,0,Flat,0.0,24.0,,,,Normal,Unknown,Lane,0.0
201800000209,Departamental,157,,,TwoWay,1.0,0,Flat,24.0,647.0,Straight,,,Normal,Intersection,Sidewalk,0.0
201800000210,Departamental,157,,,TwoWay,2.0,0,Flat,,,LeftCurve,,,Wet,Intersection,Lane,0.0
201800000211,Communal,,,,OneWay,2.0,0,Flat,,,RightCurve,,,,Unknown,Lane,0.0
201800000212,Departamental,157,,,TwoWay,2.0,0,Flat,21.0,300.0,Straight,,,,Unknown,Lane,0.0
201800000214,Departamental,943,,,TwoWay,2.0,Bike,Flat,60.0,450.0,Straight,,,,Unknown,Lane,0.0
201800000215,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000216,Communal,,,,Unknown,2.0,0,Flat,,,S-Shape,,,,Unknown,Lane,0.0
201800000218,Departamental,192,,,TwoWay,2.0,0,Flat,2.0,350.0,Straight,,,Normal,Unknown,Lane,0.0
201800000219,PublicParking,,,,,,0,Flat,,,Straight,,,Wet,Unknown,Lane,0.0
201800000220,Departamental,194,,,TwoWay,2.0,0,Flat,1.0,290.0,Straight,,,Wet,Bridge,Shoulder,0.0
201800000221,Departamental,940,,D,OneWay,1.0,0,Flat,20.0,850.0,LeftCurve,,,Snow,Intersection,Lane,0.0
201800000222,Departamental,48,,,TwoWay,2.0,0,Flat,15.0,100.0,Straight,,,Normal,Unknown,Lane,0.0
201800000223,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000224,Departamental,940,,,TwoWay,2.0,0,Flat,16.0,100.0,,,,Normal,Unknown,Sidewalk,0.0
201800000227,Departamental,48,,,TwoWay,2.0,0,Flat,11.0,580.0,Straight,,,Normal,Unknown,Lane,0.0
201800000228,Communal,7,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Lane,0.0
201800000229,Departamental,940,,D,TwoWay,2.0,0,Flat,8.0,300.0,Straight,,,Normal,Unknown,Lane,0.0
201800000230,Departamental,48,,,TwoWay,2.0,0,Flat,17.0,670.0,LeftCurve,,,Normal,Unknown,Sidewalk,0.0
201800000231,Departamental,106,,,TwoWay,2.0,0,Uphill,7.0,430.0,Straight,,,,Unknown,Lane,0.0
201800000233,Departamental,938,,,TwoWay,2.0,0,TopHill,22.0,500.0,Straight,,,Normal,Unknown,Lane,0.0
201800000234,PublicParking,,,,Unknown,1.0,0,Flat,,,Straight,,,,Unknown,Lane,0.0
201800000235,Communal,,,,TwoWay,2.0,0,Flat,,,Straight,,,Normal,Unknown,Shoulder,0.0
201800000236,Departamental,929,,,TwoWay,2.0,0,Flat,33.0,200.0,Straight,,,Normal,Unknown,Lane,0.0
201800000237,Departamental,966,,,TwoWay,2.0,0,Flat,24.0,960.0,Straight,,,Wet,Unknown,Lane,0.0
201800000238,Departamental,1044,,,TwoWay,3.0,0,TopHill,78.0,897.0,Straight,,,Wet,Unknown,Lane,0.0
201800000239,Departamental,1044,,,TwoWay,2.0,0,Uphill,76.0,876.0,RightCurve,,,Normal,Unknown,Lane,0.0
201800000240,Departamental,513,,,TwoWay,2.0,0,Flat,2.0,775.0,RightCurve,,,Normal,Unknown,Shoulder,0.0
201800000241,Departamental,1044,,,TwoWay,3.0,0,Uphill,77.0,705.0,Straight,,,Unknown,Unknown,Lane,0.0
201800000242,Departamental,89,,,TwoWay,2.0,0,Flat,14.0,0.0,Straight,,,Normal,Unknown,Lane,0.0
201800000243,Departamental,25,,,TwoWay,2.0,0,Flat,17.0,233.0,LeftCurve,,,,Unknown,Lane,0.0
201800000244,Departamental,82,,,TwoWay,2.0,0,Uphill,31.0,776.0,LeftCurve,,,Wet,Unknown,Lane,0.0
201800000245,Departamental,86,,,TwoWay,2.0,0,Flat,20.0,12.0,RightCurve,,,Normal,Unknown,Shoulder,0.0
201800000246,Communal,,,,TwoWay,2.0,0,Flat,,,,,,Normal,Unknown,Shoulder,0.0
201800000247,Departamental,969,,,TwoWay,2.0,0,Uphill,6.0,650.0,S-Shape,,,Normal,Unknown,Lane,0.0
201800000248,Departamental,933,,,TwoWay,2.0,0,Flat,2.0,600.0,,,,Normal,Unknown,Lane,0.0
201800000249,Departamental,1003,,,TwoWay,3.0,0,Flat,8.0,872.0,Straight,,,Normal,Intersection,Lane,0.0
201800000250,Departamental,86,,,TwoWay,2.0,0,Uphill,23.0,700.0,S-Shape,,,Normal,Unknown,Shoulder,0.0
201800000251,Departamental,861,,,TwoWay,2.0,0,Uphill,4.0,14.0,Straight,,,Normal,Unknown,Lane,0.0
201800000253,Departamental,1,,,TwoWay,2.0,0,Flat,107.0,100.0,,,,,Unknown,Shoulder,0.0
201800000255,Departamental,15,,,TwoWay,2.0,0,Uphill,27.0,139.0,Straight,,,,Unknown,Lane,0.0
201800000256,Departamental,933,,,TwoWay,2.0,0,Uphill,5.0,920.0,Straight,,,Normal,Unknown,Lane,0.0
201800000257,Departamental,363,,,TwoWay,2.0,0,Uphill,2.0,2168.0,Straight,,,Wet,Unknown,Lane,0.0
201800000258,Departamental,363,,,,,,,2.0,1.0,,,,,,,
201800000259,Communal,,,,TwoWay,2.0,0,Flat,,,RightCurve,,,Normal,Unknown,Lane,0.0
201800000260,Departamental,1043,,,TwoWay,2.0,0,Flat,20.0,900.0,Straight,,,Normal,Unknown,Lane,0.0
201800000261,Communal,,,,TwoWay,2.0,0,Uphill,,,Straight,,,Normal,Unknown,Sidewalk,0.0
201800000262,Departamental,753,,,TwoWay,2.0,0,Flat,58.0,300.0,Straight,,,Normal,Unknown,Lane,0.0
