AccidentId,VehicleId,Seat,Category,Gender,TripReason,SafetyDevice,SafetyDeviceUsed,PedestrianLocation,PedestrianAction,PedestrianCompany,BirthYear
201800000013,B01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1972
201800000013,B01,2.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1922
201800000014,A01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1987
201800000014,A01,,Car<=3.5T,Female,Leisure,Helmet,,OnLane>OnSidewalk0mCrossing,Crossing,Alone,1929
201800000015,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1928
201800000016,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1941
201800000016,A01,,Car<=3.5T,Female,Home-School,Helmet,,OnCrossingWithLigths,Crossing,Alone,1920
201800000017,A01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1950
201800000018,A01,1.0,Moped,Male,Leisure,Helmet,Yes,,,Unknown,2000
201800000018,B01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1949
201800000019,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1988
201800000019,B01,1.0,Motorbike>125cm3,Male,,Helmet,Yes,,,Unknown,1954
201800000019,B01,2.0,Motorbike>125cm3,Female,,Helmet,Yes,,,Unknown,1972
201800000020,A01,1.0,Car<=3.5T,Male,Professional,ChildrenDevice,,,,Unknown,1988
201800000020,B01,1.0,Bicycle,Male,Other,Helmet,Yes,,,Unknown,1997
201800000021,A01,1.0,Car<=3.5T,Female,Home-Work,SeatBelt,Yes,,,Unknown,1931
201800000021,B01,1.0,Scooter_50cm3-125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1950
201800000022,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1965
201800000022,A01,,Car<=3.5T,Male,Shopping,Helmet,,OnCrossingWithLigths,Crossing,Alone,1978
201800000023,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1949
201800000023,B01,1.0,Car<=3.5T,Male,Shopping,SeatBelt,Yes,,,Unknown,1991
201800000024,A01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1979
201800000024,A01,,Car<=3.5T,Male,,Helmet,,OnCrossingWithLigths,Crossing,Alone,1938
201800000025,A01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1951
201800000026,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1975
201800000026,B01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1957
201800000027,A01,1.0,Car<=3.5T,Male,Other,SeatBelt,Yes,,,Unknown,1950
201800000027,B01,1.0,Car<=3.5T,Female,Shopping,SeatBelt,Yes,,,Unknown,1995
201800000027,C01,1.0,LargeCar_3.5T-7.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1981
201800000028,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1990
201800000029,A01,1.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1974
201800000029,A01,2.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1930
201800000029,A01,9.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1990
201800000030,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1998
201800000030,A01,,Car<=3.5T,Female,Leisure,Helmet,,,Other,Alone,1999
201800000031,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1966
201800000032,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1963
201800000032,A01,,Car<=3.5T,Male,Leisure,Helmet,,OnLane>OnSidewalk0mCrossing,Crossing,Alone,1975
201800000033,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1994
201800000033,B01,1.0,Utility,Male,Professional,SeatBelt,Yes,,,Unknown,1960
201800000033,C01,1.0,Utility,Male,Professional,SeatBelt,Yes,,,Unknown,1978
201800000034,A01,1.0,Car<=3.5T,Female,Home-Work,ChildrenDevice,,,,Unknown,1925
201800000034,B01,1.0,Car<=3.5T,Female,Home-Work,ChildrenDevice,,,,Unknown,1992
201800000036,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1985
201800000036,B01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1948
201800000037,A01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1924
201800000037,A01,2.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,2002
201800000037,B01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1956
201800000037,B01,2.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1953
201800000037,B01,4.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1993
201800000038,A01,1.0,LargeCar+Trailer>3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1996
201800000038,B01,1.0,Car<=3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1937
201800000039,A01,1.0,Motorbike>125cm3,Male,Home-Work,Helmet,Yes,,,Unknown,1971
201800000039,B01,1.0,Tractor,Male,Professional,Helmet,,,,Unknown,1991
201800000040,A01,1.0,Moped,Male,Home-Work,Helmet,Yes,,,Unknown,2000
201800000040,B01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1954
201800000040,C01,1.0,Car<=3.5T,Female,Professional,ChildrenDevice,,,,Unknown,1945
201800000043,A01,1.0,LargeCar+Trailer>3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1928
201800000043,B01,1.0,LargeCar+Trailer>3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1977
201800000044,A01,1.0,Bicycle,Male,Leisure,Helmet,,,,Unknown,1947
201800000044,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1924
201800000045,A01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1925
201800000045,A01,2.0,Car<=3.5T,Male,Leisure,Helmet,,,,Unknown,1932
201800000046,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,2000
201800000046,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,2001
201800000046,A01,5.0,Car<=3.5T,Male,Leisure,Helmet,,,,Unknown,1998
201800000047,A01,1.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1991
201800000047,A01,,Car<=3.5T,Male,Leisure,Helmet,,OnLane<=OnSidewalk0mCrossing,Crossing,Alone,1937
201800000048,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1978
201800000048,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1963
201800000048,B01,2.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1931
201800000049,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1979
201800000049,A01,,Car<=3.5T,Male,Leisure,Helmet,,OnCrossingWithLigths,Crossing,Alone,1968
201800000050,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1949
201800000050,B01,1.0,LargeCar_3.5T-7.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1943
201800000051,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1987
201800000051,B01,1.0,Bicycle,Male,Leisure,Helmet,,,,Unknown,1984
201800000052,A01,1.0,Moped,Male,Leisure,Helmet,Yes,,,Unknown,1922
201800000052,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1973
201800000053,A01,1.0,Car<=3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1935
201800000053,B01,1.0,Motorbike>125cm3,Male,,Helmet,Yes,,,Unknown,1985
201800000054,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1981
201800000054,B01,1.0,Motorbike>125cm3,Male,,Helmet,Yes,,,Unknown,1949
201800000055,A01,1.0,Moped,Female,Home-Work,Helmet,Yes,,,Unknown,2003
201800000055,B01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1983
201800000056,A01,1.0,Car<=3.5T,Female,Shopping,SeatBelt,Yes,,,Unknown,1934
201800000056,B01,1.0,Bicycle,Male,Leisure,Helmet,Yes,,,Unknown,1944
201800000057,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1998
201800000057,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1999
201800000058,A01,1.0,Car<=3.5T,Male,Other,SeatBelt,Yes,,,Unknown,1997
201800000058,B01,1.0,Car<=3.5T,Male,Other,SeatBelt,Yes,,,Unknown,1959
201800000059,A01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1979
201800000059,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1998
201800000060,A01,1.0,Car<=3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1976
201800000060,A01,,Car<=3.5T,Male,Leisure,Helmet,,OnLane<=OnSidewalk0mCrossing,Crossing,Alone,1933
201800000061,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1998
201800000061,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1999
201800000061,B01,1.0,Car<=3.5T,Male,Shopping,SeatBelt,Yes,,,Unknown,1952
201800000061,D01,1.0,Car<=3.5T,Male,Shopping,SeatBelt,Yes,,,Unknown,1944
201800000062,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1924
201800000062,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1995
201800000064,A01,1.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1978
201800000064,B01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1997
201800000065,A01,1.0,Motorbike_50cm3-125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1972
201800000065,B01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1970
201800000066,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1989
201800000067,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1998
201800000068,A01,1.0,Car<=3.5T,Male,Leisure,Helmet,,,,Unknown,1998
201800000068,A01,9.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1997
201800000069,A01,1.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1990
201800000069,A01,3.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1957
201800000069,A01,9.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1956
201800000070,A01,1.0,Car<=3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1997
201800000070,B01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1935
201800000071,A01,1.0,Car<=3.5T,Female,Home-Work,SeatBelt,Yes,,,Unknown,1972
201800000071,A01,2.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1953
201800000072,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1989
201800000073,A01,1.0,LargeCar+Trailer>3.5T,Male,Professional,ChildrenDevice,,,,Unknown,1995
201800000073,A01,5.0,LargeCar+Trailer>3.5T,Male,Other,ChildrenDevice,,,,Unknown,1991
201800000074,A01,1.0,Motorbike>125cm3,Male,,Helmet,Yes,,,Unknown,1963
201800000075,A01,1.0,Car<=3.5T,Male,Other,SeatBelt,Yes,,,Unknown,1972
201800000075,B01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1946
201800000076,A01,1.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,1939
201800000077,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1997
201800000077,B01,1.0,Moped,Male,Leisure,Helmet,Yes,,,Unknown,2002
201800000078,A01,1.0,Car<=3.5T,Male,Other,ChildrenDevice,,,,Unknown,1983
201800000078,B01,1.0,Scooter>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1992
201800000079,A01,1.0,Utility,Male,Leisure,SeatBelt,Yes,,,Unknown,1950
201800000079,B01,1.0,Motorbike_50cm3-125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1970
201800000080,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1940
201800000080,B01,1.0,Bicycle,Male,Leisure,Helmet,,,,Unknown,1957
201800000082,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1982
201800000082,B01,1.0,Car<=3.5T,Female,Home-Work,SeatBelt,Yes,,,Unknown,1948
201800000083,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1970
201800000083,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1969
201800000084,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,
201800000084,B01,1.0,Quadricycle,Male,Shopping,ChildrenDevice,,,,Unknown,1948
201800000085,A01,1.0,Car<=3.5T,Male,Other,ChildrenDevice,,,,Unknown,1997
201800000086,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1928
201800000086,A01,2.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1926
201800000086,B01,1.0,Car<=3.5T,Female,Shopping,SeatBelt,Yes,,,Unknown,1962
201800000087,A01,1.0,Car<=3.5T,Female,Leisure,ChildrenDevice,,,,Unknown,1974
201800000088,A01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1926
201800000088,A01,2.0,Car<=3.5T,Female,Leisure,ChildrenDevice,,,,Unknown,1999
201800000089,B01,1.0,Car<=3.5T,Female,Professional,SeatBelt,Yes,,,Unknown,1949
201800000089,B01,7.0,Car<=3.5T,Female,Other,SeatBelt,Yes,,,Unknown,1932
201800000089,B01,9.0,Car<=3.5T,Male,Other,SeatBelt,Yes,,,Unknown,1995
201800000089,C01,1.0,LargeCar+Trailer>3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1984
201800000090,A01,1.0,LargeCar+Trailer>3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1980
201800000091,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1980
201800000091,A01,,Car<=3.5T,Male,Leisure,Helmet,,OnCrossingWithLigths,Crossing,Alone,1991
201800000092,A01,1.0,Moped,Male,,Helmet,Yes,,,Unknown,1990
201800000093,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1994
201800000094,A01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1935
201800000094,B01,1.0,Bicycle,Male,Shopping,Helmet,,,,Unknown,1950
201800000095,A01,1.0,Car<=3.5T,Female,Other,SeatBelt,Yes,,,Unknown,1981
201800000095,A01,,Car<=3.5T,Female,Shopping,Helmet,,OnCrossingWithoutLights,Crossing,Alone,1956
201800000097,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1961
201800000097,B01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1987
201800000097,B01,2.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1984
201800000098,A01,1.0,Moped,Male,Leisure,Helmet,Yes,,,Unknown,1999
201800000098,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1932
201800000098,C01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1935
201800000099,A01,1.0,Moped,Male,Leisure,Helmet,Yes,,,Unknown,1999
201800000099,B01,1.0,Car<=3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1964
201800000100,A01,1.0,Car<=3.5T,Male,,ChildrenDevice,,,,Unknown,1926
201800000100,B01,1.0,Car<=3.5T,Female,,ChildrenDevice,,,,Unknown,1950
201800000100,C01,1.0,Car<=3.5T,Male,Professional,ChildrenDevice,,,,Unknown,1958
201800000101,A01,1.0,Car<=3.5T,Female,Home-Work,SeatBelt,Yes,,,Unknown,1987
201800000102,A01,1.0,Car<=3.5T,Female,Other,SeatBelt,Yes,,,Unknown,1954
201800000102,A01,,Car<=3.5T,Male,Leisure,Helmet,,OnLane>OnSidewalk0mCrossing,Playing,Alone,2012
201800000103,A01,1.0,Car<=3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1962
201800000103,A01,2.0,Car<=3.5T,Female,Professional,SeatBelt,Yes,,,Unknown,1986
201800000103,A01,8.0,Car<=3.5T,Female,Professional,SeatBelt,Yes,,,Unknown,1992
201800000103,A01,9.0,Car<=3.5T,Female,Professional,SeatBelt,Yes,,,Unknown,1953
201800000103,B01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1962
201800000105,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1966
201800000105,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1964
201800000106,A01,1.0,Moped,Male,Home-Work,Helmet,Yes,,,Unknown,1957
201800000106,A01,,Moped,Male,Home-School,Helmet,,OnCrossingWithLigths,Crossing,WithSomebody,2012
201800000107,A01,1.0,Car<=3.5T,Female,Professional,SeatBelt,Yes,,,Unknown,1938
201800000107,B01,1.0,Bicycle,Female,Shopping,Helmet,,,,Unknown,1994
201800000108,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1995
201800000108,B01,1.0,Scooter<50cm3,Male,Leisure,Helmet,Yes,,,Unknown,1979
201800000109,A01,1.0,Motorbike>125cm3,Male,Professional,Helmet,Yes,,,Unknown,1977
201800000109,B01,1.0,Car<=3.5T,Male,Leisure,ChildrenDevice,,,,Unknown,1975
201800000109,C01,1.0,Quadricycle,Male,Leisure,ChildrenDevice,,,,Unknown,1962
201800000110,A01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1985
201800000110,B01,1.0,Motorbike>125cm3,Male,Home-Work,Helmet,Yes,,,Unknown,1932
201800000112,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1947
201800000112,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1944
201800000112,A01,3.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1950
201800000112,B01,1.0,Car<=3.5T,Male,Professional,SeatBelt,Yes,,,Unknown,1970
201800000112,C01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1960
201800000113,A01,1.0,Moped,Male,Leisure,Helmet,Yes,,,Unknown,2001
201800000113,B01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1986
201800000114,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,
201800000114,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1934
201800000114,B01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1952
201800000116,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1984
201800000117,A01,1.0,Car<=3.5T,Female,Home-Work,SeatBelt,Yes,,,Unknown,1975
201800000118,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1995
201800000118,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1996
201800000119,A01,1.0,Utility,Male,Leisure,SeatBelt,Yes,,,Unknown,1948
201800000119,B01,1.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1992
201800000120,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1996
201800000120,A01,2.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1999
201800000121,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1995
201800000121,A01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1996
201800000121,A01,7.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1991
201800000121,A01,9.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1995
201800000122,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1945
201800000123,A01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1927
201800000123,A01,2.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1997
201800000123,A01,7.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1996
201800000123,A01,9.0,Car<=3.5T,Male,Other,SeatBelt,Yes,,,Unknown,1988
201800000124,A01,1.0,Car<=3.5T,Female,Other,SeatBelt,Yes,,,Unknown,
201800000125,A01,1.0,Moped,Male,Home-School,Helmet,Yes,,,Unknown,2003
201800000125,B01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1990
201800000126,A01,1.0,Car<=3.5T,Female,,SeatBelt,Yes,,,Unknown,1999
201800000126,B01,1.0,Moped,Male,,Helmet,Yes,,,Unknown,1950
201800000126,B01,2.0,Moped,Female,,Helmet,Yes,,,Unknown,1922
201800000127,A01,1.0,Motorbike>125cm3,Male,,Helmet,Yes,,,Unknown,1954
201800000128,A01,1.0,Motorbike>125cm3,Male,Home-Work,Helmet,Yes,,,Unknown,1992
201800000129,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1933
201800000129,B01,1.0,Moped,Male,,Helmet,Yes,,,Unknown,1994
201800000130,A01,1.0,Motorbike>125cm3,Male,Leisure,Helmet,Yes,,,Unknown,1991
201800000131,A01,1.0,Truck+SemiTrailer,Male,Professional,SeatBelt,Yes,,,Unknown,1965
201800000131,B01,1.0,Tractor,Male,Professional,ChildrenDevice,,,,Unknown,1948
201800000132,A01,1.0,QuadBike<=50cm3,Male,Leisure,Helmet,Yes,,,Unknown,1982
201800000133,A01,1.0,Motorbike>125cm3,Male,,Helmet,Yes,,,Unknown,1976
201800000133,B01,1.0,Car<=3.5T,Female,Professional,SeatBelt,Yes,,,Unknown,1999
201800000134,A01,1.0,Car<=3.5T,Male,,SeatBelt,Yes,,,Unknown,1952
201800000134,B01,1.0,Moped,Female,,Helmet,Yes,,,Unknown,1959
201800000135,A01,1.0,Moped,Male,Home-Work,Helmet,Yes,,,Unknown,1940
201800000136,A01,1.0,Moped,Male,Leisure,Helmet,Yes,,,Unknown,2001
201800000136,A01,2.0,Moped,Female,Leisure,Helmet,Yes,,,Unknown,1922
201800000136,B01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1990
201800000137,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1955
201800000137,A01,,Car<=3.5T,Female,Leisure,Helmet,,OnLane<=OnSidewalk0mCrossing,Crossing,Alone,1936
201800000138,A01,1.0,Car<=3.5T,Female,Home-Work,SeatBelt,Yes,,,Unknown,1934
201800000138,B01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1990
201800000138,C01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1984
201800000138,D01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1987
201800000138,E01,1.0,Car<=3.5T,Male,Home-Work,SeatBelt,Yes,,,Unknown,1955
201800000139,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1932
201800000139,A01,2.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1998
201800000139,A01,7.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1994
201800000139,A01,9.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1996
201800000139,B01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1991
201800000139,B01,2.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1986
201800000140,A01,1.0,Car<=3.5T,Female,Other,SeatBelt,Yes,,,Unknown,1999
201800000140,B01,1.0,Motorbike>125cm3,Male,Home-Work,Helmet,Yes,,,Unknown,1986
201800000141,A01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1973
201800000141,B01,1.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1970
201800000141,B01,2.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1959
201800000141,B01,3.0,Car<=3.5T,Female,Leisure,SeatBelt,Yes,,,Unknown,1962
201800000142,A01,1.0,Car<=3.5T,Male,Leisure,SeatBelt,Yes,,,Unknown,1963
