AccidentId,RoadType,Circulation,LaneNumber,SpecialLane,Slope,Layout,SurfaceCondition,Infrastructure,Localization,SchoolNear
201800000047,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000049,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000050,Departamental,TwoWay,2,0,Flat,RightCurve,Affected,Unknown,Lane,Missing
201800000055,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000056,Departamental,TwoWay,2,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000057,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000059,Departamental,TwoWay,2,Bike,Flat,Missing,Normal,Unknown,Lane,Missing
201800000060,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000061,Other,TwoWay,2,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000062,Departamental,TwoWay,2,0,Flat,RightCurve,Affected,Unknown,Sidewalk,Missing
201800000065,Departamental,TwoWay,2,0,Flat,S-Shape,Normal,Unknown,Shoulder,Missing
201800000066,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Sidewalk,Missing
201800000068,Communal,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000069,Departamental,TwoWay,2,0,BottomHill,Straight,Normal,Unknown,Shoulder,Missing
201800000070,Departamental,TwoWay,2,0,Uphill,S-Shape,Affected,Unknown,Lane,Missing
201800000071,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000073,National,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000074,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000075,National,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000076,National,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Shoulder,Missing
201800000077,Communal,TwoWay,2,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000078,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000079,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000083,National,TwoWay,2,0,BottomHill,Straight,Normal,Unknown,Lane,Missing
201800000084,Departamental,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000085,Departamental,TwoWay,2,0,Flat,Straight,Affected,Missing,Shoulder,Missing
201800000086,Departamental,TwoWay,2,0,BottomHill,Straight,Normal,Intersection,Lane,Missing
201800000088,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000089,Departamental,TwoWay,2,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000090,Departamental,TwoWay,2,SeparatedBike,Flat,Unknown,Unknown,Intersection,Lane,Missing
201800000091,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000092,Departamental,TwoWay,2,0,Uphill,Missing,Normal,Intersection,Lane,Missing
201800000094,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000095,Communal,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000098,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000099,Communal,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000100,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000102,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000103,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000105,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000106,Communal,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000107,Communal,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000108,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000109,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000110,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000112,Departamental,TwoWay,2,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000114,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000117,Departamental,TwoWay,2,SeparatedBike,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000120,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Shoulder,Missing
201800000121,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000123,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000124,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000127,Departamental,OneWay,1,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000128,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000129,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000130,Departamental,TwoWay,2,0,Flat,Straight,Normal,Bridge,Shoulder,Missing
201800000131,Departamental,TwoWay,3,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000133,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000134,Departamental,OneWay,2,SeparatedBike,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000135,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000136,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000137,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000138,Departamental,TwoWay,2,Bike,Flat,Missing,Dangerous,Unknown,Lane,Missing
201800000139,Departamental,TwoWay,2,SeparatedBike,Flat,Straight,Normal,Unknown,BikeLane,Missing
201800000140,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000141,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000143,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000144,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000145,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Shoulder,Missing
201800000147,Other,Unknown,1,0,Flat,Missing,Other,Missing,Lane,Missing
201800000149,Departamental,TwoWay,2,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000150,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000153,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Shoulder,Missing
201800000155,Departamental,TwoWay,2,0,Flat,Straight,Dangerous,Unknown,Lane,Missing
201800000156,Departamental,TwoWay,2,0,Flat,Straight,Normal,Missing,Shoulder,Missing
201800000157,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000159,Departamental,TwoWay,2,0,Uphill,RightCurve,Normal,Unknown,Lane,Missing
201800000160,Departamental,DividedHighway,4,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000161,Departamental,TwoWay,2,0,Uphill,S-Shape,Normal,Unknown,Lane,Missing
201800000162,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000163,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000164,Departamental,TwoWay,2,0,Flat,LeftCurve,Affected,Unknown,Shoulder,Missing
201800000165,Departamental,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000166,Communal,Unknown,2,0,Flat,Straight,Other,Missing,Lane,Missing
201800000167,Communal,TwoWay,2,0,Uphill,Missing,Normal,Unknown,Lane,Missing
201800000169,Highway,DividedHighway,4,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000170,Highway,DividedHighway,4,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000171,Highway,DividedHighway,4,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000172,Highway,DividedHighway,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000174,Highway,DividedHighway,4,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000175,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Missing,Lane,Missing
201800000176,Departamental,TwoWay,2,0,Flat,Unknown,Normal,Unknown,Lane,Missing
201800000179,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Missing,Lane,Missing
201800000181,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000184,National,TwoWay,4,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000185,Departamental,TwoWay,2,0,Flat,Straight,Missing,Missing,Sidewalk,Missing
201800000187,Departamental,DividedHighway,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000188,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000189,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000190,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000192,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000193,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000194,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000195,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000196,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000197,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000198,Communal,TwoWay,2,0,Flat,LeftCurve,Unknown,Missing,Shoulder,Missing
201800000199,Departamental,TwoWay,2,SeparatedBike,Flat,Straight,Normal,Unknown,Lane,Missing
201800000202,Communal,OneWay,1,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000205,Departamental,TwoWay,2,0,Uphill,LeftCurve,Normal,Unknown,Lane,Missing
201800000206,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Shoulder,Missing
201800000207,Communal,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000208,Departamental,OneWay,1,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000209,Departamental,TwoWay,1,0,Flat,Straight,Normal,Intersection,Sidewalk,Missing
201800000211,Communal,OneWay,2,0,Flat,RightCurve,Missing,Unknown,Lane,Missing
201800000212,Departamental,TwoWay,2,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000214,Departamental,TwoWay,2,Bike,Flat,Straight,Missing,Unknown,Lane,Missing
201800000216,Communal,Unknown,2,0,Flat,S-Shape,Missing,Unknown,Lane,Missing
201800000219,PublicParking,Unknown,0,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000220,Departamental,TwoWay,2,0,Flat,Straight,Affected,Bridge,Shoulder,Missing
201800000221,Departamental,OneWay,1,0,Flat,LeftCurve,Affected,Intersection,Lane,Missing
201800000222,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000223,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000224,Departamental,TwoWay,2,0,Flat,Missing,Normal,Unknown,Sidewalk,Missing
201800000227,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000229,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000231,Departamental,TwoWay,2,0,Uphill,Straight,Missing,Unknown,Lane,Missing
201800000234,PublicParking,Unknown,1,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000235,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000238,Departamental,TwoWay,3,0,TopHill,Straight,Affected,Unknown,Lane,Missing
201800000240,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Shoulder,Missing
201800000241,Departamental,TwoWay,3,0,Uphill,Straight,Unknown,Unknown,Lane,Missing
201800000243,Departamental,TwoWay,2,0,Flat,LeftCurve,Missing,Unknown,Lane,Missing
201800000244,Departamental,TwoWay,2,0,Uphill,LeftCurve,Affected,Unknown,Lane,Missing
201800000245,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Shoulder,Missing
201800000246,Communal,TwoWay,2,0,Flat,Missing,Normal,Unknown,Shoulder,Missing
201800000247,Departamental,TwoWay,2,0,Uphill,S-Shape,Normal,Unknown,Lane,Missing
201800000249,Departamental,TwoWay,3,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000250,Departamental,TwoWay,2,0,Uphill,S-Shape,Normal,Unknown,Shoulder,Missing
201800000251,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000253,Departamental,TwoWay,2,0,Flat,Missing,Missing,Unknown,Shoulder,Missing
201800000256,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000257,Departamental,TwoWay,2,0,Uphill,Straight,Affected,Unknown,Lane,Missing
201800000258,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000259,Communal,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Lane,Missing
201800000260,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000262,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000263,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000265,Communal,TwoWay,2,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000267,Departamental,TwoWay,2,0,BottomHill,Straight,Affected,Unknown,Lane,Missing
201800000268,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000270,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000271,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000272,Communal,TwoWay,2,0,TopHill,LeftCurve,Missing,Unknown,Shoulder,Missing
201800000273,Departamental,TwoWay,2,0,TopHill,LeftCurve,Normal,Unknown,Shoulder,Missing
201800000276,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000277,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000278,Departamental,VariableWayNumber,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000283,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000285,Communal,TwoWay,2,0,Uphill,RightCurve,Normal,Unknown,Lane,Missing
201800000287,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000288,Communal,Unknown,0,0,Unknown,Missing,Missing,Intersection,Lane,Yes
201800000289,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000290,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000291,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000292,Departamental,TwoWay,2,0,Uphill,S-Shape,Missing,Missing,Lane,Missing
201800000294,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000297,Departamental,TwoWay,2,0,Uphill,LeftCurve,Normal,Unknown,Lane,Missing
201800000298,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Lane,Missing
201800000299,Departamental,TwoWay,2,0,TopHill,LeftCurve,Normal,Unknown,Shoulder,Missing
201800000300,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000302,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Sidewalk,Missing
201800000304,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000305,Departamental,TwoWay,2,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000306,Departamental,TwoWay,2,0,BottomHill,Straight,Normal,Unknown,Sidewalk,Missing
201800000308,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000309,Departamental,TwoWay,2,0,BottomHill,Straight,Normal,Unknown,Lane,Missing
201800000310,Communal,TwoWay,2,0,Flat,Missing,Normal,Unknown,Sidewalk,Missing
201800000311,Departamental,TwoWay,2,0,Flat,Straight,Unknown,Unknown,Lane,Missing
201800000312,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000313,Departamental,TwoWay,3,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000316,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Intersection,Lane,Missing
201800000317,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Intersection,Lane,Missing
201800000318,Departamental,TwoWay,2,0,Flat,RightCurve,Missing,Intersection,Lane,Missing
201800000319,Departamental,TwoWay,3,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000320,Departamental,DividedHighway,4,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000322,Departamental,TwoWay,2,0,Uphill,Straight,Dangerous,Unknown,Lane,Missing
201800000323,Departamental,Unknown,0,0,Unknown,Missing,Missing,Unknown,Lane,No
201800000325,Communal,OneWay,1,0,Flat,LeftCurve,Normal,Missing,Lane,Missing
201800000326,Departamental,VariableWayNumber,2,0,Uphill,LeftCurve,Normal,Intersection,Lane,Missing
201800000327,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Shoulder,Missing
201800000330,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000331,Departamental,TwoWay,2,0,Uphill,S-Shape,Affected,Unknown,Lane,Missing
201800000332,Departamental,TwoWay,2,0,Flat,Missing,Dangerous,Missing,Shoulder,Missing
201800000334,Departamental,TwoWay,2,0,Uphill,Missing,Affected,Unknown,Lane,Missing
201800000335,National,TwoWay,2,0,Uphill,RightCurve,Affected,Unknown,Lane,Missing
201800000337,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000338,National,TwoWay,2,0,Flat,S-Shape,Normal,Unknown,Lane,Missing
201800000339,Departamental,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000340,National,TwoWay,2,0,Uphill,LeftCurve,Normal,Unknown,Lane,Missing
201800000341,National,DividedHighway,4,Reserved,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000342,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000343,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000344,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Shoulder,Missing
201800000345,Departamental,TwoWay,2,0,Flat,RightCurve,Affected,Railroad,Lane,Missing
201800000347,National,TwoWay,2,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000348,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000349,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000350,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Sidewalk,Missing
201800000351,Departamental,TwoWay,2,0,BottomHill,LeftCurve,Missing,Unknown,Lane,Missing
201800000352,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000353,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Shoulder,Missing
201800000356,Departamental,TwoWay,2,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000360,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000361,Departamental,Unknown,1,0,Flat,LeftCurve,Normal,Unknown,Lane,Missing
201800000362,Departamental,TwoWay,3,0,TopHill,Straight,Missing,Unknown,Lane,Missing
201800000363,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000364,Departamental,TwoWay,2,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000365,Departamental,TwoWay,2,0,Uphill,LeftCurve,Affected,Unknown,Lane,Missing
201800000366,Communal,Unknown,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000367,Departamental,TwoWay,2,0,Uphill,Straight,Missing,Unknown,Shoulder,Missing
201800000368,Departamental,TwoWay,2,0,Flat,Straight,Affected,Intersection,Lane,Missing
201800000369,Departamental,TwoWay,3,0,Uphill,Straight,Normal,Missing,BikeLane,Missing
201800000371,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000372,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000373,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000375,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000376,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000377,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000378,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Missing,Lane,Missing
201800000380,Departamental,TwoWay,2,0,Flat,Missing,Normal,Intersection,Lane,Missing
201800000383,Departamental,TwoWay,2,0,Flat,Missing,Normal,Unknown,Lane,Missing
201800000384,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Shoulder,Missing
201800000387,Departamental,TwoWay,2,0,TopHill,Straight,Normal,Unknown,Lane,Missing
201800000388,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000389,Departamental,TwoWay,2,0,Flat,Straight,Normal,Intersection,Shoulder,Missing
201800000390,Departamental,Unknown,1,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000391,Other,TwoWay,2,0,Flat,RightCurve,Missing,Unknown,Shoulder,Missing
201800000392,Departamental,DividedHighway,2,Reserved,Uphill,Straight,Dangerous,Bridge,Lane,Missing
201800000393,Departamental,TwoWay,2,SeparatedBike,Flat,Straight,Normal,Unknown,Sidewalk,Missing
201800000394,Departamental,TwoWay,2,0,Uphill,Straight,Normal,Unknown,Shoulder,Missing
201800000395,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000396,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000398,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000399,Departamental,TwoWay,2,0,Uphill,RightCurve,Affected,Unknown,Lane,Missing
201800000400,PublicParking,Unknown,0,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000401,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000403,Departamental,TwoWay,2,0,Uphill,LeftCurve,Dangerous,Unknown,Lane,Missing
201800000404,Other,Unknown,1,0,Flat,Straight,Missing,Unknown,Lane,Missing
201800000406,Departamental,TwoWay,2,0,Uphill,Straight,Affected,Unknown,Shoulder,Missing
201800000407,Departamental,TwoWay,2,0,Flat,RightCurve,Dangerous,Unknown,Lane,Missing
201800000408,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000412,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000413,Departamental,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000414,Departamental,TwoWay,2,0,Uphill,Unknown,Other,Unknown,Shoulder,Missing
201800000415,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000417,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Lane,Missing
201800000418,Departamental,Unknown,0,0,Unknown,Missing,Missing,Missing,Unknown,Missing
201800000420,Departamental,TwoWay,2,0,Flat,LeftCurve,Normal,Unknown,Shoulder,Missing
201800000421,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000422,Departamental,TwoWay,1,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000423,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000424,Communal,TwoWay,2,0,Flat,Unknown,Normal,Unknown,Lane,Missing
201800000425,Communal,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Shoulder,Missing
201800000426,Communal,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000427,National,TwoWay,3,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000434,Departamental,TwoWay,2,0,Flat,RightCurve,Normal,Unknown,Lane,Missing
201800000435,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000436,Departamental,TwoWay,2,0,Uphill,RightCurve,Normal,Unknown,Lane,Missing
201800000437,National,TwoWay,3,0,Uphill,Straight,Normal,Unknown,Lane,Missing
201800000438,Communal,TwoWay,2,0,Flat,Missing,Missing,Unknown,Sidewalk,Missing
201800000439,Communal,TwoWay,2,0,Flat,Straight,Affected,Unknown,Lane,Missing
201800000440,Departamental,TwoWay,2,0,Flat,Straight,Normal,Unknown,Lane,Missing
201800000441,Communal,TwoWay,2,0,Flat,Straight,Normal,Missing,Lane,Missing
201800000442,Communal,TwoWay,2,0,Uphill,RightCurve,Missing,Unknown,Lane,Missing
