AccidentId,Direction,FixedObstacle,MobileObstacle,ImpactPoint,Maneuver_grouped
201800000092,Decreasing,OtherInLane,Not_Applicable,Front,Overtake
201800000094,Decreasing,Not_Applicable,Other,Front,Straight
201800000094,Decreasing,Not_Applicable,Not_Applicable,Back,Straight
201800000095,Increasing,Not_Applicable,Pedestrian,RightFront,Turn
201800000098,Increasing,Not_Applicable,Vehicle,Back,ModerateRisk
201800000098,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000098,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000099,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000099,Unknown,Not_Applicable,Vehicle,LeftFront,Turn
201800000100,Decreasing,Not_Applicable,Vehicle,RightBack,SwerveTurn
201800000100,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000100,Increasing,Not_Applicable,Vehicle,LeftBack,Straight
201800000102,Decreasing,Not_Applicable,Pedestrian,RightFront,Straight
201800000103,Increasing,Not_Applicable,Vehicle,LeftSide,Straight
201800000103,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000105,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000105,Decreasing,Not_Applicable,Vehicle,Back,Straight
201800000106,Unknown,Not_Applicable,Pedestrian,Front,Straight
201800000107,Decreasing,Not_Applicable,Other,RightFront,Unknown
201800000107,Unknown,Not_Applicable,Not_Applicable,RightSide,Unknown
201800000108,Increasing,Not_Applicable,Vehicle,LeftFront,Unknown
201800000108,Decreasing,Not_Applicable,Not_Applicable,RightFront,Unknown
201800000109,Increasing,Not_Applicable,Vehicle,RightSide,Straight
201800000109,Unknown,Not_Applicable,Vehicle,LeftSide,Straight
201800000109,Unknown,Not_Applicable,Vehicle,Front,LaneChange
201800000110,Unknown,Not_Applicable,Not_Applicable,RightBack,Straight
201800000110,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000112,Unknown,Not_Applicable,Vehicle,RightBack,ModerateRisk
201800000112,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000112,Unknown,Not_Applicable,Vehicle,LeftBack,StoppedOrParked
201800000114,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000114,Increasing,Not_Applicable,Not_Applicable,LeftSide,LaneChange
201800000117,Decreasing,DitchTalusOrRockyWall,Not_Applicable,Front,Straight
201800000120,Increasing,DitchTalusOrRockyWall,Not_Applicable,Front,Straight
201800000121,Increasing,DitchTalusOrRockyWall,Not_Applicable,Front,Straight
201800000123,Unknown,SideWalkEdge,Not_Applicable,Front,Unknown
201800000124,Increasing,Post,Not_Applicable,Multiple,Straight
201800000127,Unknown,DitchTalusOrRockyWall,Not_Applicable,Front,Straight
201800000128,Decreasing,Not_Applicable,Other,Unknown,SwerveTurn
201800000129,Increasing,Not_Applicable,Vehicle,LeftFront,Turn
201800000129,Decreasing,MetallicBarrier,Vehicle,LeftFront,Straight
201800000130,Unknown,BuildingWallOrPier,Not_Applicable,Front,Unknown
201800000131,Increasing,Not_Applicable,Vehicle,RightFront,Straight
201800000131,Increasing,Not_Applicable,Not_Applicable,RightBack,Turn
201800000133,Increasing,Not_Applicable,Vehicle,Front,Overtake
201800000133,Increasing,Not_Applicable,Vehicle,LeftBack,StoppedOrParked
201800000134,Unknown,Not_Applicable,Vehicle,RightSide,LaneChange
201800000134,Unknown,Not_Applicable,Vehicle,LeftFront,LaneChange
201800000135,Increasing,DitchTalusOrRockyWall,Not_Applicable,Unknown,Turn
201800000136,Increasing,Not_Applicable,Vehicle,LeftSide,Turn
201800000136,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000137,Unknown,Not_Applicable,Pedestrian,LeftFront,Straight
201800000138,Unknown,Not_Applicable,Vehicle,Front,ModerateRisk
201800000138,Unknown,TrafficSignOrEmergencyBox,Vehicle,RightSide,Straight
201800000138,Unknown,Not_Applicable,Vehicle,LeftSide,Straight
201800000138,Unknown,Not_Applicable,Other,Front,Straight
201800000139,Unknown,Not_Applicable,Vehicle,RightFront,Straight
201800000139,Unknown,Not_Applicable,Not_Applicable,LeftBack,StoppedOrParked
201800000140,Unknown,Not_Applicable,Vehicle,LeftFront,Turn
201800000140,Unknown,Not_Applicable,Vehicle,RightFront,Overtake
201800000141,Unknown,Not_Applicable,Vehicle,Front,LaneChange
201800000141,Unknown,Not_Applicable,Vehicle,LeftSide,Straight
201800000143,Increasing,Not_Applicable,Vehicle,Front,Overtake
201800000143,Increasing,Not_Applicable,Vehicle,LeftFront,ModerateRisk
201800000144,Increasing,Not_Applicable,Vehicle,LeftFront,ModerateRisk
201800000144,Increasing,Not_Applicable,Vehicle,RightFront,Straight
201800000145,Unknown,TrafficSignOrEmergencyBox,Not_Applicable,Front,Straight
201800000147,Unknown,Not_Applicable,Other,Front,Unknown
201800000149,Unknown,OtherInLane,Not_Applicable,Unknown,Unknown
201800000150,Increasing,Not_Applicable,Other,Front,Straight
201800000150,Unknown,Not_Applicable,Vehicle,Front,LaneChange
201800000153,Decreasing,DitchTalusOrRockyWall,Not_Applicable,Unknown,Straight
201800000155,Unknown,Not_Applicable,Not_Applicable,RightFront,Straight
201800000156,Unknown,DitchTalusOrRockyWall,Other,Back,ModerateRisk
201800000157,Unknown,Not_Applicable,Vehicle,Front,Turn
201800000157,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000157,Unknown,Not_Applicable,Vehicle,Front,StoppedOrParked
201800000159,Unknown,StationaryVehicle,Vehicle,Front,Straight
201800000159,Unknown,Not_Applicable,Vehicle,RightFront,Straight
201800000160,Decreasing,MetallicBarrier,Not_Applicable,Unknown,Unknown
201800000161,Unknown,StationaryVehicle,Not_Applicable,LeftSide,SwerveTurn
201800000162,Increasing,TrafficSignOrEmergencyBox,Not_Applicable,RightBack,LaneChange
201800000162,Increasing,BuildingWallOrPier,Not_Applicable,RightFront,Straight
201800000163,Increasing,Not_Applicable,Pedestrian,RightFront,Overtake
201800000164,Decreasing,StationaryVehicle,Not_Applicable,Front,Straight
201800000165,Increasing,Not_Applicable,Pedestrian,RightFront,Straight
201800000166,Unknown,Not_Applicable,Vehicle,LeftBack,ModerateRisk
201800000166,Unknown,Not_Applicable,Vehicle,LeftBack,HighRisk
201800000167,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000167,Unknown,Not_Applicable,Vehicle,RightFront,Straight
201800000169,Decreasing,MetallicBarrier,Not_Applicable,Back,Straight
201800000169,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000170,Increasing,Not_Applicable,Not_Applicable,Back,Straight
201800000170,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000171,Increasing,MetallicBarrier,Vehicle,Front,HighRisk
201800000171,Increasing,MetallicBarrier,Vehicle,LeftBack,Straight
201800000172,Increasing,Not_Applicable,Not_Applicable,Back,Straight
201800000174,Decreasing,Not_Applicable,Not_Applicable,RightFront,Straight
201800000174,Decreasing,Not_Applicable,Not_Applicable,LeftBack,Straight
201800000175,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000175,Increasing,Post,Vehicle,LeftSide,Straight
201800000176,Increasing,Not_Applicable,Not_Applicable,RightFront,Straight
201800000179,Unknown,MetallicBarrier,Vehicle,RightFront,Straight
201800000179,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000181,Unknown,Not_Applicable,Vehicle,LeftSide,Turn
201800000181,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000184,Unknown,Not_Applicable,Not_Applicable,Front,Straight
201800000184,Unknown,Not_Applicable,Not_Applicable,RightFront,Straight
201800000185,Decreasing,Post,Not_Applicable,Front,SwerveTurn
201800000187,Decreasing,Not_Applicable,Vehicle,RightFront,Straight
201800000187,Decreasing,Not_Applicable,Not_Applicable,Back,Straight
201800000188,Unknown,Not_Applicable,Pedestrian,Front,Turn
201800000189,Decreasing,Not_Applicable,Vehicle,LeftBack,Turn
201800000189,Decreasing,Not_Applicable,Vehicle,Front,Overtake
201800000190,Unknown,DitchTalusOrRockyWall,Other,Unknown,Unknown
201800000192,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000192,Decreasing,StationaryVehicle,Not_Applicable,RightSide,Turn
201800000193,Increasing,Not_Applicable,Vehicle,LeftSide,LaneChange
201800000193,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000194,Increasing,Not_Applicable,WildAnimal,Front,Overtake
201800000195,Increasing,Not_Applicable,Vehicle,Front,Overtake
201800000195,Decreasing,Not_Applicable,Vehicle,Front,ModerateRisk
201800000196,Unknown,Not_Applicable,Pedestrian,RightFront,Straight
201800000197,Decreasing,Not_Applicable,Vehicle,LeftFront,Turn
201800000197,Decreasing,Not_Applicable,Vehicle,Front,Overtake
201800000198,Unknown,Tree,Not_Applicable,Front,Straight
201800000199,Decreasing,Not_Applicable,Vehicle,Front,SwerveTurn
201800000199,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000202,Increasing,Not_Applicable,Vehicle,Front,LaneChange
201800000202,Increasing,Not_Applicable,Vehicle,LeftSide,Straight
201800000205,Decreasing,Not_Applicable,Not_Applicable,Front,Straight
201800000206,Decreasing,Tree,Not_Applicable,RightFront,Straight
201800000207,Unknown,Not_Applicable,Vehicle,Front,Overtake
201800000207,Unknown,Not_Applicable,Not_Applicable,LeftFront,Turn
201800000208,Unknown,Not_Applicable,Pedestrian,Unknown,HighRisk
201800000209,Increasing,Not_Applicable,Other,RightFront,SwerveTurn
201800000209,Increasing,Not_Applicable,Vehicle,LeftSide,Unknown
201800000211,Unknown,StationaryVehicle,Not_Applicable,Front,Turn
201800000211,Unknown,Not_Applicable,Not_Applicable,RightBack,StoppedOrParked
201800000212,Decreasing,Not_Applicable,Vehicle,Unknown,Unknown
201800000212,Decreasing,Not_Applicable,Vehicle,Back,Straight
201800000212,Increasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000212,Decreasing,Not_Applicable,Not_Applicable,RightSide,StoppedOrParked
201800000214,Unknown,Post,Not_Applicable,LeftFront,Straight
201800000216,Unknown,Not_Applicable,Vehicle,RightSide,Straight
201800000216,Unknown,Not_Applicable,Not_Applicable,Front,Straight
201800000219,Unknown,Not_Applicable,Vehicle,Front,LaneChange
201800000219,Unknown,OtherInSidewalkOrShoulder,Vehicle,LeftSide,Straight
201800000220,Unknown,BuildingWallOrPier,Not_Applicable,Front,Straight
201800000221,Increasing,TrafficSignOrEmergencyBox,Not_Applicable,Multiple,Straight
201800000222,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000222,Decreasing,Not_Applicable,Not_Applicable,Back,Straight
201800000223,Unknown,Not_Applicable,Pedestrian,LeftFront,Overtake
201800000224,Unknown,StationaryVehicle,Not_Applicable,RightFront,Straight
201800000224,Unknown,Not_Applicable,Not_Applicable,LeftBack,StoppedOrParked
201800000227,Decreasing,Not_Applicable,Vehicle,RightFront,LaneChange
201800000227,Increasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000229,Decreasing,Not_Applicable,Vehicle,RightBack,Turn
201800000229,Increasing,Not_Applicable,Vehicle,Front,Unknown
201800000229,Decreasing,Not_Applicable,Vehicle,LeftSide,Straight
201800000231,Decreasing,Not_Applicable,Vehicle,Front,SwerveTurn
201800000231,Increasing,Not_Applicable,Other,LeftFront,Straight
201800000234,Unknown,Not_Applicable,Pedestrian,Back,ModerateRisk
201800000235,Unknown,ExitLaneWithoutObstacle,Not_Applicable,Unknown,Unknown
201800000238,Increasing,Not_Applicable,Vehicle,RightSide,SwerveTurn
201800000238,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000240,Decreasing,BuildingWallOrPier,Not_Applicable,Front,SwerveTurn
201800000241,Decreasing,Not_Applicable,Other,Unknown,Straight
201800000243,Increasing,Not_Applicable,Vehicle,RightFront,ModerateRisk
201800000243,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000244,Decreasing,MetallicBarrier,Vehicle,RightFront,Straight
201800000244,Increasing,Not_Applicable,Vehicle,RightFront,Straight
201800000245,Decreasing,DitchTalusOrRockyWall,Not_Applicable,RightSide,Straight
201800000246,Unknown,Not_Applicable,Not_Applicable,RightBack,Straight
201800000247,Increasing,BuildingWallOrPier,Not_Applicable,LeftFront,Straight
201800000249,Decreasing,Not_Applicable,Not_Applicable,LeftSide,ModerateRisk
201800000249,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000250,Decreasing,BuildingWallOrPier,Not_Applicable,RightFront,Straight
201800000251,Decreasing,ExitLaneWithoutObstacle,Not_Applicable,Unknown,Straight
201800000253,Decreasing,Post,Not_Applicable,Front,Straight
201800000256,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000256,Decreasing,Not_Applicable,Not_Applicable,Back,Straight
201800000257,Increasing,Not_Applicable,Vehicle,RightFront,LaneChange
201800000257,Decreasing,Not_Applicable,Vehicle,RightFront,Straight
201800000258,Unknown,Not_Applicable,Vehicle,LeftFront,LaneChange
201800000258,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000259,Decreasing,Post,Vehicle,Front,ModerateRisk
201800000259,Unknown,Not_Applicable,Not_Applicable,RightSide,Turn
201800000260,Decreasing,MetallicBarrier,Vehicle,LeftFront,Overtake
201800000260,Decreasing,TrafficSignOrEmergencyBox,Not_Applicable,LeftBack,Turn
201800000262,Increasing,Not_Applicable,Vehicle,RightFront,Straight
201800000262,Increasing,Not_Applicable,Not_Applicable,LeftBack,Straight
201800000263,Increasing,Not_Applicable,Vehicle,LeftFront,Overtake
201800000263,Increasing,Not_Applicable,Vehicle,RightSide,Turn
201800000265,Decreasing,BuildingWallOrPier,Not_Applicable,Front,Straight
201800000267,Unknown,Not_Applicable,Vehicle,RightFront,Unknown
201800000267,Unknown,Not_Applicable,Vehicle,LeftFront,Unknown
201800000268,Unknown,Not_Applicable,Vehicle,LeftFront,ModerateRisk
201800000268,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000270,Unknown,Not_Applicable,Vehicle,Front,Overtake
201800000270,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000271,Unknown,Not_Applicable,Vehicle,RightFront,ModerateRisk
201800000271,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000272,Unknown,Tree,Not_Applicable,RightFront,SwerveTurn
201800000273,Unknown,ExitLaneWithoutObstacle,Not_Applicable,Multiple,SwerveTurn
201800000276,Unknown,Not_Applicable,Vehicle,RightFront,Overtake
201800000276,Unknown,Not_Applicable,Vehicle,LeftFront,Unknown
201800000277,Decreasing,Not_Applicable,Not_Applicable,LeftSide,Turn
201800000277,Decreasing,Not_Applicable,Not_Applicable,Front,ModerateRisk
201800000278,Increasing,TrafficIslandRefugeOrMilestone,Not_Applicable,Front,Straight
201800000283,Increasing,StationaryVehicle,Not_Applicable,Front,Straight
201800000285,Unknown,Not_Applicable,Other,LeftFront,Straight
201800000285,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000287,Increasing,Not_Applicable,Not_Applicable,LeftSide,Straight
201800000288,Unknown,Not_Applicable,Vehicle,RightSide,Unknown
201800000288,Unknown,Not_Applicable,Vehicle,LeftFront,Turn
201800000289,Decreasing,Not_Applicable,Vehicle,RightFront,Turn
201800000289,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000290,Unknown,Not_Applicable,Pedestrian,RightFront,Straight
201800000291,Decreasing,Not_Applicable,Pedestrian,LeftFront,SwerveTurn
201800000292,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000292,Decreasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000292,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000292,Decreasing,Not_Applicable,Vehicle,RightFront,Straight
201800000294,Increasing,StationaryVehicle,Vehicle,LeftFront,Overtake
201800000294,Decreasing,Not_Applicable,Vehicle,RightSide,Unknown
201800000297,Decreasing,DitchTalusOrRockyWall,Not_Applicable,RightSide,Overtake
201800000298,Increasing,Not_Applicable,Pedestrian,RightFront,Unknown
201800000299,Increasing,Not_Applicable,Not_Applicable,Unknown,Straight
201800000300,Increasing,Not_Applicable,Not_Applicable,RightFront,StoppedOrParked
201800000302,Increasing,StreetFurniture,Not_Applicable,Front,Straight
201800000304,Unknown,Not_Applicable,Pedestrian,Front,Straight
201800000305,Increasing,Not_Applicable,Vehicle,LeftSide,SwerveTurn
201800000305,Decreasing,Not_Applicable,Not_Applicable,LeftSide,ModerateRisk
201800000306,Increasing,BuildingWallOrPier,Not_Applicable,Front,Straight
201800000308,Decreasing,Not_Applicable,Vehicle,Front,Unknown
201800000308,Decreasing,Not_Applicable,Vehicle,Back,Straight
201800000309,Unknown,TrafficSignOrEmergencyBox,Vehicle,RightSide,Straight
201800000309,Unknown,Not_Applicable,Vehicle,LeftSide,Turn
201800000310,Unknown,SideWalkEdge,Not_Applicable,RightSide,Straight
201800000311,Unknown,Not_Applicable,Not_Applicable,RightFront,Straight
201800000311,Unknown,Not_Applicable,Vehicle,LeftSide,Turn
201800000312,Unknown,Not_Applicable,Not_Applicable,LeftBack,Unknown
201800000312,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000313,Decreasing,Not_Applicable,Vehicle,LeftSide,LaneChange
201800000313,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000316,Decreasing,OtherInLane,Not_Applicable,Unknown,Straight
201800000317,Unknown,MetallicBarrier,Not_Applicable,Front,Turn
201800000318,Unknown,Not_Applicable,Pedestrian,Front,Turn
201800000319,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000319,Decreasing,Not_Applicable,Not_Applicable,Back,Straight
201800000319,Increasing,Not_Applicable,Vehicle,LeftSide,HighRisk
201800000320,Decreasing,Not_Applicable,Vehicle,Back,Straight
201800000320,Decreasing,Not_Applicable,Vehicle,Front,Unknown
201800000322,Unknown,Not_Applicable,Vehicle,Front,HighRisk
201800000322,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000323,Increasing,Not_Applicable,Vehicle,RightFront,Turn
201800000323,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000325,Unknown,Not_Applicable,Vehicle,RightSide,Straight
201800000325,Unknown,Not_Applicable,Vehicle,LeftFront,ModerateRisk
201800000326,Unknown,Not_Applicable,Vehicle,LeftBack,Straight
201800000326,Unknown,Not_Applicable,Other,RightBack,LaneChange
201800000327,Unknown,OtherInSidewalkOrShoulder,Not_Applicable,LeftFront,Straight
201800000330,Unknown,StreetFurniture,Not_Applicable,Multiple,Straight
201800000331,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000331,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000332,Unknown,Not_Applicable,Not_Applicable,Unknown,StoppedOrParked
201800000334,Unknown,Not_Applicable,Vehicle,RightSide,Turn
201800000334,Unknown,Not_Applicable,Vehicle,Front,Straight
201800000335,Increasing,Not_Applicable,Vehicle,Front,HighRisk
201800000335,Decreasing,Not_Applicable,Vehicle,RightFront,Straight
201800000337,Decreasing,Not_Applicable,Vehicle,Front,Turn
201800000337,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000338,Unknown,Not_Applicable,Vehicle,LeftFront,SwerveTurn
201800000338,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000339,Unknown,Not_Applicable,Vehicle,Front,LaneChange
201800000339,Decreasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000340,Decreasing,Not_Applicable,Vehicle,LeftFront,SwerveTurn
201800000340,Increasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000341,Decreasing,Not_Applicable,Not_Applicable,Back,Straight
201800000341,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000342,Unknown,Not_Applicable,Vehicle,RightFront,Straight
201800000342,Decreasing,Not_Applicable,Vehicle,Front,Straight
201800000343,Unknown,Not_Applicable,Vehicle,LeftFront,Straight
201800000343,Unknown,Not_Applicable,Vehicle,LeftFront,SwerveTurn
201800000344,Unknown,Tree,Not_Applicable,RightSide,Straight
201800000345,Unknown,Not_Applicable,Not_Applicable,Unknown,Straight
201800000347,Increasing,Tree,Not_Applicable,LeftFront,Unknown
201800000348,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000348,Increasing,Not_Applicable,Vehicle,Back,Straight
201800000349,Increasing,Not_Applicable,Vehicle,LeftFront,Turn
201800000349,Decreasing,Not_Applicable,Vehicle,Front,Overtake
201800000350,Increasing,StreetFurniture,Not_Applicable,LeftFront,Straight
201800000351,Increasing,Not_Applicable,Vehicle,LeftFront,SwerveTurn
201800000351,Decreasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000352,Decreasing,Not_Applicable,Vehicle,LeftFront,LaneChange
201800000352,Increasing,Not_Applicable,Vehicle,Front,LaneChange
201800000353,Decreasing,TrafficSignOrEmergencyBox,Not_Applicable,Unknown,Unknown
201800000356,Decreasing,Not_Applicable,Other,LeftFront,Straight
201800000356,Increasing,Not_Applicable,Vehicle,LeftSide,SwerveTurn
201800000360,Increasing,Not_Applicable,Pedestrian,RightFront,Straight
201800000361,Decreasing,Not_Applicable,Vehicle,RightFront,Turn
201800000361,Decreasing,Not_Applicable,Not_Applicable,Back,Turn
201800000362,Decreasing,Not_Applicable,Vehicle,LeftBack,Straight
201800000362,Increasing,Not_Applicable,Vehicle,Front,Straight
201800000362,Decreasing,Not_Applicable,Vehicle,Front,HighRisk
201800000363,Increasing,Not_Applicable,Vehicle,Multiple,Overtake
201800000363,Increasing,Not_Applicable,Vehicle,LeftBack,Turn
201800000363,Decreasing,Not_Applicable,Vehicle,LeftFront,Straight
201800000364,Increasing,SideWalkEdge,Not_Applicable,RightFront,Straight
